Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9716580,SA_0000001445,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,4,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1600579,SA_0000001445,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,0.89,0.89,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2193844,SA_0000001445,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,3.73,3.73,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4972024,SA_0000001445,COUNTRY,MYS,YEAR,WPR,Western Pacific,,,2002,,,,,,,10.96,10.96,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
242945,SA_0000001445,COUNTRY,NER,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,18.6,18.6,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9247877,SA_0000001445,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,5.0,5.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
414265,SA_0000001445,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_MLE,2004,,,,,,,7.9,7.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3733433,SA_0000001445,COUNTRY,MOZ,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,46.7,46.7,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9437652,SA_0000001445,COUNTRY,MMR,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2004,,,,,,,10.9,10.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8249119,SA_0000001445,COUNTRY,BRB,YEAR,AMR,Americas,SEX,SEX_BTSX,2004,,,,,,,4.3,4.3,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5761338,SA_0000001445,COUNTRY,TLS,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2004,,,,,,,13.8,13.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1852778,SA_0000001445,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,7.4,7.4,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7522552,SA_0000001445,COUNTRY,EST,YEAR,EUR,Europe,,,2002,,,,,,,3.42,3.42,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3442495,SA_0000001445,COUNTRY,COM,YEAR,AFR,Africa,SEX,SEX_MLE,2004,,,,,,,22.9,22.9,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2582749,SA_0000001445,COUNTRY,NIU,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,13.0,13.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9862620,SA_0000001445,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,,2002,,,,,,,11.52,11.52,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3044079,SA_0000001445,COUNTRY,NZL,YEAR,WPR,Western Pacific,,,2002,,,,,,,2.29,2.29,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6504816,SA_0000001445,COUNTRY,LVA,YEAR,EUR,Europe,SEX,SEX_BTSX,2004,,,,,,,3.8,3.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
8540386,SA_0000001445,COUNTRY,COL,YEAR,AMR,Americas,,,2002,,,,,,,1.66,1.66,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
